Stattrak,Weapon Name,Skin Name,Range Delimeter,#FN,#MW,#FT,#WW,#BS,$FN,$MW,$FT,$WW,$BS,floatAvg,Avg Cost,Avg Profit,Net Profit After Steam ($)
True,XM1014,XOXO,min,0,1,9,0,0,22.25,7.91,3.31,2.95,2.59,0.142,37.7,54.8,9.95
True,P90,Nostalgia,min,0,0,10,0,0,22.14,13.18,8.05,7.4,6.28,0.15,80.5,104.02,9.95
True,Sawed-Off,Devourer,min,3,6,0,0,1,25.39,12.26,6.62,5.75,4.94,0.087,154.67,189.23,9.88
True,MP7,Nemesis,min,4,5,1,0,0,28.01,13.31,9.2,nan,nan,0.05,187.79,227.32,9.88
True,AUG,Death by Puppy,min,2,6,2,0,0,23.97,12.41,8.0,7.1,nan,0.072,138.4,170.51,9.87
True,Five-SeveN,Fairy Tale,min,0,0,10,0,0,72.09,33.64,17.51,13.96,13.07,0.15,175.1,212.7,9.86
True,MAC-10,Button Masher,min,0,10,0,0,0,2.84,1.17,0.57,0.46,0.43,0.07,11.7,24.77,9.84
False,P90,Shapewood,min,1,8,1,0,0,8.88,4.15,1.92,1.7,1.73,0.071,44.0,61.89,9.82
True,P90,Vent Rush,min,3,6,1,0,0,6.27,3.6,1.65,1.67,1.32,0.057,42.06,59.66,9.82
False,FAMAS,Rapid Eye Movement,min,2,8,0,0,0,10.47,4.66,2.17,1.8,1.69,0.056,58.22,78.19,9.77
True,P90,Vent Rush,min,4,0,6,0,0,6.27,3.6,1.65,1.67,1.32,0.09,34.98,51.45,9.76
True,Galil AR,Chromatic Aberration,min,1,9,0,0,0,27.86,9.68,4.38,3.19,2.94,0.063,114.98,143.44,9.75
True,MP7,Ocean Foam,min,9,1,0,0,0,6.64,7.07,nan,nan,nan,0.007,66.83,88.06,9.75
True,MP5-SD,Phosphor,min,0,1,9,0,0,19.46,10.99,6.49,5.73,5.29,0.142,69.4,91.02,9.74
False,MP7,Abyssal Apparition,min,2,8,0,0,0,10.32,4.71,2.18,1.8,1.62,0.056,58.32,78.19,9.67
True,Tec-9,Decimator,min,0,10,0,0,0,84.27,36.48,17.62,16.17,14.26,0.07,364.8,430.62,9.66
True,CZ75-Auto,Pole Position,min,3,6,1,0,0,3.73,1.49,0.66,0.76,0.64,0.057,20.79,35.01,9.65
True,MP9,Hydra,min,0,0,9,1,0,31.78,13.98,8.21,6.92,6.54,0.173,80.81,104.02,9.64
True,M249,Downtown,min,3,3,4,0,0,5.96,3.5,1.69,1.42,1.26,0.081,35.14,51.45,9.6
True,P90,Chopper,min,0,10,0,0,0,4.54,2.37,1.5,2.0,1.58,0.07,23.7,38.28,9.59
True,Five-SeveN,Fowl Play,min,1,9,0,0,0,18.3,7.83,4.26,3.69,3.41,0.063,88.77,113.1,9.58
True,P90,Neoqueen,min,4,2,3,1,0,10.49,7.07,4.57,7.47,12.08,0.097,77.28,99.89,9.58
False,P250,Visions,min,2,7,1,0,0,16.99,9.88,5.93,6.0,4.61,0.064,109.07,136.43,9.57
True,AUG,Death by Puppy,min,0,3,7,0,0,23.97,12.41,8.0,7.1,nan,0.126,93.23,118.2,9.56
False,P90,Shapewood,min,2,5,3,0,0,8.88,4.15,1.92,1.7,1.73,0.08,44.27,61.89,9.55
True,UMP-45,Momentum,min,0,0,10,0,0,18.37,10.83,6.96,5.23,5.39,0.15,69.6,91.02,9.54
True,MAG-7,Praetorian,min,1,9,0,0,0,6.56,4.27,2.93,2.52,nan,0.063,44.99,62.69,9.53
True,M249,Downtown,min,3,7,0,0,0,5.96,3.5,1.69,1.42,1.26,0.049,42.38,59.66,9.5
True,UMP-45,Momentum,min,1,0,9,0,0,18.37,10.83,6.96,5.23,5.39,0.1349999999999999,81.01,104.09,9.5
True,CZ75-Auto,Eco,min,1,9,0,0,0,6.85,2.64,1.22,1.16,1.14,0.063,30.61,46.12,9.49
True,Dual Berettas,Dezastre,min,2,8,0,0,0,8.59,4.65,2.14,1.85,1.65,0.056,54.38,73.43,9.48
True,FAMAS,Rapid Eye Movement,min,6,3,0,0,1,21.64,8.17,3.88,3.18,2.59,0.066,156.94,191.36,9.46
True,Dual Berettas,Melondrama,min,6,1,3,0,0,22.51,8.48,4.47,3.16,2.7,0.052,156.95,191.36,9.45
True,P2000,Wicked Sick,min,6,0,3,1,0,85.6,45.34,16.57,12.09,9.73,0.0829999999999999,575.4,672.52,9.41
True,XM1014,Entombed,min,0,0,10,0,0,21.63,10.95,6.51,5.59,5.49,0.15,65.1,85.69,9.41
True,UMP-45,Gold Bismuth,min,0,1,9,0,0,8.22,4.85,2.22,1.8,1.69,0.142,24.83,39.36,9.4
True,Sawed-Off,Kiss♥Love,min,0,4,4,1,1,41.69,17.39,8.97,7.55,6.46,0.1709999999999999,119.45,148.18,9.4
False,P90,Neoqueen,min,0,10,0,0,0,5.35,3.96,2.47,3.23,5.59,0.07,39.6,56.32,9.37
True,M249,Downtown,min,6,0,4,0,0,5.96,3.5,1.69,1.42,1.26,0.06,42.52,59.66,9.36
False,FAMAS,Eye of Athena,min,3,5,2,0,0,11.59,6.37,3.68,3.3,3.02,0.065,73.98,95.83,9.35
False,Sawed-Off,Kiss♥Love,min,0,0,9,1,0,17.93,9.93,5.9,4.8,4.33,0.173,57.9,77.3,9.32
False,FAMAS,Eye of Athena,min,0,0,10,0,0,11.59,6.37,3.68,3.3,3.02,0.15,36.8,53.03,9.31
True,SG 553,Dragon Tech,min,0,9,1,0,0,6.86,3.75,1.68,1.8,1.21,0.078,35.43,51.45,9.31
True,SG 553,Dragon Tech,min,2,4,4,0,0,6.86,3.75,1.68,1.8,1.21,0.088,35.44,51.45,9.3
True,UMP-45,Momentum,min,0,3,7,0,0,18.37,10.83,6.96,5.23,5.39,0.126,81.21,104.09,9.3
True,Glock-18,Umbral Rabbit,min,2,8,0,0,0,17.28,9.16,3.82,4.88,3.32,0.056,107.84,134.68,9.28
True,P250,Visions,min,7,1,1,1,0,35.05,17.14,9.06,8.15,6.76,0.06,279.7,332.32,9.28
False,Sawed-Off,Devourer,min,3,5,2,0,0,11.52,6.42,3.7,3.33,2.94,0.065,74.06,95.83,9.27
False,R8 Revolver,Banana Cannon,min,0,10,0,0,0,6.03,3.97,2.35,1.87,1.68,0.07,39.7,56.32,9.27
True,Five-SeveN,Triumvirate,min,1,9,0,0,0,6.74,4.28,2.79,2.28,2.35,0.063,45.26,62.69,9.26
True,R8 Revolver,Llama Cannon,min,0,0,10,0,0,22.65,9.0,4.68,3.81,3.49,0.15,46.8,64.47,9.26
True,P90,Vent Rush,min,2,5,3,0,0,6.27,3.6,1.65,1.67,1.32,0.08,35.49,51.45,9.25
True,Negev,dev_texture,min,0,10,0,0,0,2.9,1.23,0.53,0.51,0.47,0.07,12.3,24.77,9.24
True,MP7,Powercore,min,2,7,1,0,0,5.75,2.6,1.18,1.36,1.1,0.064,30.88,46.12,9.22
True,MP7,Neon Ply,min,9,1,0,0,0,10.3,4.84,2.09,1.65,1.56,0.007,97.54,122.75,9.2
False,FAMAS,Eye of Athena,min,2,8,0,0,0,11.59,6.37,3.68,3.3,3.02,0.056,74.14,95.83,9.19
True,SG 553,Dragon Tech,min,3,5,2,0,0,6.86,3.75,1.68,1.8,1.21,0.065,42.69,59.66,9.19
True,AUG,Momentum,min,0,0,10,0,0,79.92,16.27,5.15,3.34,2.83,0.15,51.5,69.78,9.18
False,MP7,Nemesis,min,2,7,1,0,0,10.65,6.15,4.77,nan,nan,0.064,69.12,90.02,9.16
True,MP9,Hydra,min,0,2,8,0,0,31.78,13.98,8.21,6.92,6.54,0.1339999999999999,93.64,118.2,9.15
True,P2000,Corticera,min,1,6,3,0,0,27.12,10.78,9.27,nan,nan,0.093,119.61,148.07,9.15
True,P250,Visions,min,0,4,4,1,1,35.05,17.14,9.06,8.15,6.76,0.1709999999999999,119.71,148.18,9.14
True,Sawed-Off,Apocalypto,min,1,9,0,0,0,5.03,1.72,0.91,0.73,0.66,0.063,20.51,34.08,9.13
False,SSG 08,Big Iron,min,1,9,0,0,0,21.3,9.95,6.79,7.25,6.06,0.063,110.85,137.97,9.12
False,MP7,Abyssal Apparition,min,3,5,2,0,0,10.32,4.71,2.18,1.8,1.62,0.065,58.87,78.19,9.12
False,Sawed-Off,Devourer,min,0,0,10,0,0,11.52,6.42,3.7,3.33,2.94,0.15,37.0,53.03,9.11
True,P90,Vent Rush,min,4,4,2,0,0,6.27,3.6,1.65,1.67,1.32,0.058,42.78,59.66,9.1
True,Dual Berettas,Flora Carnivora,min,2,7,1,0,0,8.32,3.49,1.71,1.34,1.22,0.064,42.78,59.66,9.1
True,M249,Downtown,min,1,8,1,0,0,5.96,3.5,1.69,1.42,1.26,0.071,35.65,51.45,9.09
True,CZ75-Auto,Yellow Jacket,min,0,1,9,0,0,27.95,12.12,8.66,7.19,7.18,0.142,90.06,114.02,9.09
False,P2000,Wicked Sick,min,0,1,8,1,0,43.26,26.22,12.47,8.52,6.64,0.1649999999999999,134.5,165.13,9.09
True,Sawed-Off,Devourer,min,3,6,0,1,0,25.39,12.26,6.62,5.75,4.94,0.08,155.48,189.23,9.07
True,Glock-18,Umbral Rabbit,min,4,3,3,0,0,17.28,9.16,3.82,4.88,3.32,0.0659999999999999,108.06,134.68,9.06
True,Five-SeveN,Fowl Play,min,0,2,8,0,0,18.3,7.83,4.26,3.69,3.41,0.1339999999999999,49.74,67.59,9.03
True,R8 Revolver,Crazy 8,min,1,6,3,0,0,8.8,3.62,1.74,1.35,1.22,0.087,35.74,51.45,9.0
True,P250,Visions,min,2,7,1,0,0,35.05,17.14,9.06,8.15,6.76,0.064,199.14,332.32,89.84
True,UMP-45,Wild Child,min,4,2,4,0,0,84.38,44.9,16.99,11.62,9.2,0.074,495.28,672.52,89.53
True,UMP-45,Wild Child,min,5,5,0,0,0,84.38,44.9,16.99,11.62,9.2,0.035,646.4,846.14,89.39
True,P250,Visions,min,3,4,3,0,0,35.05,17.14,9.06,8.15,6.76,0.073,200.89,332.32,88.09
True,P90,Shapewood,min,0,8,2,0,0,26.59,9.08,3.56,3.04,3.22,0.086,79.76,191.99,87.19
True,P2000,Wicked Sick,min,7,0,3,0,0,85.6,45.34,16.57,12.09,9.73,0.045,648.91,846.14,86.88
True,P250,Visions,min,4,1,5,0,0,35.05,17.14,9.06,8.15,6.76,0.082,202.64,332.32,86.34
True,UMP-45,Wild Child,min,6,3,0,0,1,84.38,44.9,16.99,11.62,9.2,0.066,650.18,846.14,85.61
True,P2000,Wicked Sick,min,4,2,4,0,0,85.6,45.34,16.57,12.09,9.73,0.074,499.36,672.52,85.45
True,P2000,Corticera,min,0,10,0,0,0,27.12,10.78,9.27,nan,nan,0.07,107.8,221.93,85.19
True,FAMAS,Rapid Eye Movement,min,0,10,0,0,0,21.64,8.17,3.88,3.18,2.59,0.07,81.7,191.36,84.7
True,UMP-45,Momentum,min,6,4,0,0,0,18.37,10.83,6.96,5.23,5.39,0.028,153.54,273.61,84.39
True,P2000,Wicked Sick,min,2,7,0,1,0,85.6,45.34,16.57,12.09,9.73,0.087,500.67,672.52,84.14
True,MP7,Abyssal Apparition,min,0,10,0,0,0,21.8,8.23,3.98,3.02,2.73,0.07,82.3,191.36,84.1
True,P2000,Wicked Sick,min,0,2,8,0,0,85.6,45.34,16.57,12.09,9.73,0.1339999999999999,223.24,353.32,84.0
True,SSG 08,Big Iron,min,0,10,0,0,0,46.35,27.01,14.53,12.58,12.75,0.07,270.1,406.46,83.35
True,Sawed-Off,Kiss♥Love,min,2,6,2,0,0,41.69,17.39,8.97,7.55,6.46,0.072,205.66,332.32,83.32
True,UMP-45,Wild Child,min,6,3,0,1,0,84.38,44.9,16.99,11.62,9.2,0.059,652.6,846.14,83.19
True,P250,Visions,min,2,8,0,0,0,35.05,17.14,9.06,8.15,6.76,0.056,207.22,332.32,81.76
True,P90,Shapewood,min,0,9,1,0,0,26.59,9.08,3.56,3.04,3.22,0.078,85.28,191.99,81.67
True,Dual Berettas,Melondrama,min,0,10,0,0,0,22.51,8.48,4.47,3.16,2.7,0.07,84.8,191.36,81.6
True,UMP-45,Wild Child,min,0,2,8,0,0,84.38,44.9,16.99,11.62,9.2,0.1339999999999999,225.72,353.32,81.52
True,P2000,Wicked Sick,min,5,5,0,0,0,85.6,45.34,16.57,12.09,9.73,0.035,654.7,846.14,81.09
True,UMP-45,Momentum,min,7,2,1,0,0,18.37,10.83,6.96,5.23,5.39,0.029,157.21,273.61,80.72
True,P250,Visions,min,3,5,2,0,0,35.05,17.14,9.06,8.15,6.76,0.065,208.97,332.32,80.01
False,AUG,Death by Puppy,min,0,9,1,0,0,11.75,7.18,5.37,4.84,nan,0.078,69.99,90.81,8.98
True,Sawed-Off,Devourer,min,1,0,9,0,0,25.39,12.26,6.62,5.75,4.94,0.1349999999999999,84.97,108.01,8.96
True,M249,Downtown,min,4,1,5,0,0,5.96,3.5,1.69,1.42,1.26,0.082,35.79,51.45,8.95
True,R8 Revolver,Banana Cannon,min,2,6,1,1,0,14.97,6.97,3.43,2.72,2.54,0.095,77.91,99.89,8.95
False,FAMAS,Rapid Eye Movement,min,3,5,2,0,0,10.47,4.66,2.17,1.8,1.69,0.065,59.05,78.19,8.94
True,P90,Vent Rush,min,0,0,10,0,0,6.27,3.6,1.65,1.67,1.32,0.15,16.5,29.25,8.94
False,FAMAS,Eye of Athena,min,1,6,3,0,0,11.59,6.37,3.68,3.3,3.02,0.087,60.85,80.25,8.94
True,Sawed-Off,Kiss♥Love,min,1,0,8,0,1,41.69,17.39,8.97,7.55,6.46,0.1649999999999999,119.91,148.18,8.94
True,FAMAS,Eye of Athena,min,0,3,6,1,0,26.65,12.8,6.71,6.33,7.3,0.1489999999999999,84.99,108.01,8.94
True,MP7,Impire,min,1,9,0,0,0,6.98,4.29,3.56,2.31,nan,0.063,45.59,62.69,8.93
False,Sawed-Off,Devourer,min,2,8,0,0,0,11.52,6.42,3.7,3.33,2.94,0.056,74.4,95.83,8.93
True,P90,Neoqueen,min,2,7,0,1,0,10.49,7.07,4.57,7.47,12.08,0.087,77.94,99.89,8.92
True,SCAR-20,Enforcer,min,1,9,0,0,0,5.1,1.74,0.89,0.72,0.67,0.063,20.76,34.08,8.88
True,M249,Nebula Crusader,min,3,6,1,0,0,9.56,3.83,2.27,1.85,1.76,0.057,53.93,72.22,8.87
True,FAMAS,Rapid Eye Movement,min,6,3,0,1,0,21.64,8.17,3.88,3.18,2.59,0.059,157.53,191.36,8.87
True,M249,Downtown,min,4,5,1,0,0,5.96,3.5,1.69,1.42,1.26,0.05,43.03,59.66,8.85
True,CZ75-Auto,Pole Position,min,3,7,0,0,0,3.73,1.49,0.66,0.76,0.64,0.049,21.62,35.01,8.82
False,Desert Eagle,Mecha Industries,min,10,0,0,0,0,9.45,6.34,4.82,5.22,4.41,0.0,94.5,118.82,8.82
False,P90,Nostalgia,min,0,9,1,0,0,11.29,7.22,5.17,5.0,4.86,0.078,70.15,90.81,8.82
True,P90,Nostalgia,min,2,6,2,0,0,22.14,13.18,8.05,7.4,6.28,0.072,139.46,170.51,8.81
False,FAMAS,Eye of Athena,min,0,9,1,0,0,11.59,6.37,3.68,3.3,3.02,0.078,61.01,80.25,8.78
True,FAMAS,Djinn,min,5,1,4,0,0,23.73,8.31,4.43,3.24,3.33,0.0669999999999999,144.68,176.45,8.76
True,FAMAS,Eye of Athena,min,6,0,4,0,0,26.65,12.8,6.71,6.33,7.3,0.06,186.74,224.81,8.75
True,P250,Cyber Shell,min,0,10,0,0,0,3.13,1.28,0.58,0.85,0.5,0.07,12.8,24.77,8.74
True,UMP-45,Primal Saber,min,2,7,1,0,0,19.62,9.75,3.99,4.29,3.18,0.064,111.48,138.25,8.74
True,UMP-45,Wild Child,min,1,1,6,1,1,84.38,44.9,16.99,11.62,9.2,0.18,252.04,299.87,8.72
True,MP9,Food Chain,min,2,8,0,0,0,24.15,8.47,4.64,3.17,2.66,0.056,116.06,143.44,8.67
True,MP7,Special Delivery,min,4,6,0,0,0,7.52,4.01,2.26,1.99,1.71,0.042,54.14,72.22,8.66
True,FAMAS,Djinn,min,4,6,0,0,0,23.73,8.31,4.43,3.24,3.33,0.042,144.78,176.45,8.66
True,P90,Neoqueen,min,5,0,4,1,0,10.49,7.07,4.57,7.47,12.08,0.098,78.2,99.89,8.66
False,Sawed-Off,Devourer,min,1,6,3,0,0,11.52,6.42,3.7,3.33,2.94,0.087,61.14,80.25,8.65
True,AUG,Fleet Flock,min,0,0,10,0,0,22.74,7.78,3.75,2.96,2.73,0.15,37.5,53.07,8.65
True,MP7,Special Delivery,min,5,3,2,0,0,7.52,4.01,2.26,1.99,1.71,0.051,54.15,72.22,8.65
True,SG 553,Dragon Tech,min,0,0,10,0,0,6.86,3.75,1.68,1.8,1.21,0.15,16.8,29.25,8.64
True,G3SG1,High Seas,min,1,9,0,0,0,5.91,2.84,1.18,1.22,0.95,0.063,31.47,46.12,8.63
True,UMP-45,Gold Bismuth,min,2,8,0,0,0,8.22,4.85,2.22,1.8,1.69,0.056,55.24,73.43,8.62
False,R8 Revolver,Llama Cannon,min,1,9,0,0,0,9.46,4.0,2.3,2.24,1.86,0.066,45.46,62.17,8.61
True,P2000,Wicked Sick,min,1,1,6,1,1,85.6,45.34,16.57,12.09,9.73,0.18,252.18,299.87,8.58
True,MAG-7,Praetorian,min,2,7,1,0,0,6.56,4.27,2.93,2.52,nan,0.064,45.94,62.69,8.58
True,FAMAS,Djinn,min,0,1,9,0,0,23.73,8.31,4.43,3.24,3.33,0.142,48.18,65.27,8.57
True,Dual Berettas,Flora Carnivora,min,1,7,2,0,0,8.32,3.49,1.71,1.34,1.22,0.079,36.17,51.45,8.57
True,FAMAS,Eye of Athena,min,0,3,7,0,0,26.65,12.8,6.71,6.33,7.3,0.126,85.37,108.01,8.56
True,FAMAS,Rapid Eye Movement,min,0,3,6,1,0,21.64,8.17,3.88,3.18,2.59,0.1489999999999999,50.97,68.43,8.54
False,P2000,Wicked Sick,min,6,3,0,1,0,43.26,26.22,12.47,8.52,6.64,0.059,346.74,408.57,8.54
True,M249,Downtown,min,0,0,10,0,0,5.96,3.5,1.69,1.42,1.26,0.15,16.9,29.25,8.54
True,FAMAS,Eye of Athena,min,0,1,8,1,0,26.65,12.8,6.71,6.33,7.3,0.1649999999999999,72.81,93.54,8.53
True,P90,Vent Rush,min,3,3,4,0,0,6.27,3.6,1.65,1.67,1.32,0.081,36.21,51.45,8.53
True,Glock-18,Umbral Rabbit,min,1,5,4,0,0,17.28,9.16,3.82,4.88,3.32,0.095,78.36,99.89,8.5
False,UMP-45,Wild Child,min,0,1,8,1,0,43.65,26.21,12.53,8.64,6.7,0.1649999999999999,135.09,165.13,8.5
True,MP9,Hydra,min,0,10,0,0,0,31.78,13.98,8.21,6.92,6.54,0.07,139.8,170.51,8.47
True,M249,Downtown,min,2,6,2,0,0,5.96,3.5,1.69,1.42,1.26,0.072,36.3,51.45,8.44
True,P90,Vent Rush,min,5,2,3,0,0,6.27,3.6,1.65,1.67,1.32,0.059,43.5,59.66,8.38
False,P90,Neoqueen,min,5,1,4,0,0,5.35,3.96,2.47,3.23,5.59,0.0669999999999999,40.59,56.32,8.38
True,P250,Visions,min,7,1,2,0,0,35.05,17.14,9.06,8.15,6.76,0.037,280.61,332.32,8.37
True,Sawed-Off,Highwayman,min,0,10,0,0,0,7.04,3.39,1.34,0.92,0.95,0.07,33.9,48.6,8.36
True,P90,Nostalgia,min,0,1,7,0,2,22.14,13.18,8.05,7.4,6.28,0.202,82.09,104.02,8.36
True,MP9,Hydra,min,0,0,10,0,0,31.78,13.98,8.21,6.92,6.54,0.15,82.1,104.02,8.35
True,Dual Berettas,Flora Carnivora,min,0,0,10,0,0,8.32,3.49,1.71,1.34,1.22,0.15,17.1,29.25,8.34
True,MP7,Special Delivery,min,0,0,10,0,0,7.52,4.01,2.26,1.99,1.71,0.15,22.6,35.57,8.33
True,Sawed-Off,Kiss♥Love,min,0,4,4,2,0,41.69,17.39,8.97,7.55,6.46,0.164,120.54,148.18,8.31
False,Sawed-Off,Devourer,min,0,9,1,0,0,11.52,6.42,3.7,3.33,2.94,0.078,61.48,80.25,8.31
True,XM1014,Zombie Offensive,min,0,10,0,0,0,2.82,1.14,0.54,0.5,0.5,0.07,11.4,22.65,8.3
True,Five-SeveN,Triumvirate,min,2,7,1,0,0,6.74,4.28,2.79,2.28,2.35,0.064,46.23,62.69,8.29
True,Dual Berettas,Dezastre,min,0,0,10,0,0,8.59,4.65,2.14,1.85,1.65,0.15,21.4,34.13,8.28
False,P90,Neoqueen,min,4,3,3,0,0,5.35,3.96,2.47,3.23,5.59,0.0659999999999999,40.69,56.32,8.28
True,SG 553,Dragon Tech,min,1,7,2,0,0,6.86,3.75,1.68,1.8,1.21,0.079,36.47,51.45,8.27
True,SG 553,Dragon Tech,min,3,2,5,0,0,6.86,3.75,1.68,1.8,1.21,0.089,36.48,51.45,8.26
True,CZ75-Auto,Pole Position,min,4,4,2,0,0,3.73,1.49,0.66,0.76,0.64,0.058,22.2,35.01,8.24
True,R8 Revolver,Banana Cannon,min,2,6,2,0,0,14.97,6.97,3.43,2.72,2.54,0.072,78.62,99.89,8.24
True,P250,Visions,min,0,4,5,0,1,35.05,17.14,9.06,8.15,6.76,0.148,120.62,148.18,8.23
True,M249,Nebula Crusader,min,0,0,10,0,0,9.56,3.83,2.27,1.85,1.76,0.15,22.7,35.57,8.23
False,Sawed-Off,Kiss♥Love,min,0,0,10,0,0,17.93,9.93,5.9,4.8,4.33,0.15,59.0,77.3,8.22
True,XM1014,Entombed,min,3,3,4,0,0,21.63,10.95,6.51,5.59,5.49,0.081,123.78,151.8,8.22
True,Glock-18,Umbral Rabbit,min,0,1,9,0,0,17.28,9.16,3.82,4.88,3.32,0.142,43.54,59.5,8.2
True,P90,Nostalgia,min,1,0,9,0,0,22.14,13.18,8.05,7.4,6.28,0.1349999999999999,94.59,118.2,8.2
True,M249,Downtown,min,5,3,2,0,0,5.96,3.5,1.69,1.42,1.26,0.051,43.68,59.66,8.2
True,G3SG1,The Executioner,min,0,0,9,0,1,nan,45.81,3.43,2.78,2.52,0.18,33.39,47.83,8.2
True,Nova,Clear Polymer,min,0,0,10,0,0,7.7,4.77,2.15,1.9,1.7,0.15,21.5,34.13,8.18
True,MP7,Abyssal Apparition,min,6,3,0,0,1,21.8,8.23,3.98,3.02,2.73,0.066,158.22,191.36,8.18
False,P90,Neoqueen,min,3,5,2,0,0,5.35,3.96,2.47,3.23,5.59,0.065,40.79,56.32,8.18
True,MAC-10,Button Masher,min,1,9,0,0,0,2.84,1.17,0.57,0.46,0.43,0.063,13.37,24.77,8.17
True,FAMAS,Rapid Eye Movement,min,6,3,1,0,0,21.64,8.17,3.88,3.18,2.59,0.036,158.23,191.36,8.17
True,SG 553,Dragon Tech,min,2,8,0,0,0,6.86,3.75,1.68,1.8,1.21,0.056,43.72,59.66,8.16
True,SG 553,Dragon Tech,min,4,3,3,0,0,6.86,3.75,1.68,1.8,1.21,0.0659999999999999,43.73,59.66,8.15
True,MP5-SD,Phosphor,min,1,1,8,0,0,19.46,10.99,6.49,5.73,5.29,0.127,82.37,104.09,8.14
True,PP-Bizon,Embargo,min,9,1,0,0,0,10.41,4.92,2.33,1.53,1.51,0.007,98.61,122.75,8.13
False,P90,Neoqueen,min,2,7,1,0,0,5.35,3.96,2.47,3.23,5.59,0.064,40.89,56.32,8.08
True,PP-Bizon,High Roller,min,0,0,10,0,0,24.93,10.07,4.8,3.71,3.21,0.15,48.0,64.47,8.06
False,UMP-45,Wild Child,min,6,3,0,0,1,43.65,26.21,12.53,8.64,6.7,0.066,347.23,408.57,8.05
True,R8 Revolver,Crazy 8,min,0,0,10,0,0,8.8,3.62,1.74,1.35,1.22,0.15,17.4,29.25,8.04
True,P90,Vent Rush,min,1,8,1,0,0,6.27,3.6,1.65,1.67,1.32,0.071,36.72,51.45,8.02
True,MAG-7,Petroglyph,min,0,10,0,0,0,2.79,1.16,0.55,0.53,nan,0.07,11.6,22.55,8.01
True,P90,Neoqueen,min,3,5,1,1,0,10.49,7.07,4.57,7.47,12.08,0.088,78.86,99.89,8.0
True,P250,Visions,min,4,2,4,0,0,35.05,17.14,9.06,8.15,6.76,0.074,210.72,332.32,78.26
True,UMP-45,Wild Child,min,5,0,5,0,0,84.38,44.9,16.99,11.62,9.2,0.075,506.85,672.52,77.96
True,UMP-45,Wild Child,min,6,3,1,0,0,84.38,44.9,16.99,11.62,9.2,0.036,657.97,846.14,77.82
True,MP5-SD,Phosphor,min,6,4,0,0,0,19.46,10.99,6.49,5.73,5.29,0.028,160.72,273.61,77.21
True,UMP-45,Momentum,min,8,0,2,0,0,18.37,10.83,6.96,5.23,5.39,0.03,160.88,273.61,77.05
