nameID,market_name,market_hash_name,border_color,image,latest,min,avg,max,mean,median,unstable,unstable_reason,first_seen
176017046,★ StatTrak™ Navaja Knife | Safari Mesh (Well-Worn),★ StatTrak™ Navaja Knife | Safari Mesh (Well-Worn),#8650AC,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpovbSsLQJf1OrYYiR95t21n4uFnvHxDKjBqWZU-81OnujPyoHwjF2hpl1pZW7yIILEIAE7Yl-B-1S3kui8h8e66ZmfwXBlvXQntH-LnEC31RpNcKUx0k3BV_h3,85.21,52.82,65.16,85.21,65.16,65.095,True,LOW_SALES_3PLUS_MONTHS,1547337600000
176010429,★ StatTrak™ Navaja Knife | Scorched (Battle-Scarred),★ StatTrak™ Navaja Knife | Scorched (Battle-Scarred),#8650AC,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpovbSsLQJf1OrYYiR95t21n4uFnvHxDKjBqW9Q-NV9j9bJ8I3jkRrh_EpvNTqhJIKXI1JqaQuF_Vm6yOy8hZe9tZqdwCc1uSci7X6Pl0Hin1gSOXLchqg_,86.17,51.62,74.21,244.2,74.21,66.5745,True,LOW_SALES_3PLUS_MONTHS,1537916400000
176001398,★ StatTrak™ Navaja Knife | Scorched (Field-Tested),★ StatTrak™ Navaja Knife | Scorched (Field-Tested),#8650AC,https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpovbSsLQJf1OrYYiR95t21n4uFnvHxDKjBqW9Q-NV9j9bM8Ij8nVn6qEA9azygIdCXdVdrN1vV81e-x7y-h5C6tM-dySQ2viQrsSuJnRawgAYMMLJzUTIl9Q,84.61,23.71,148.73,1796.3,121.66,68.31,True,LOW_SALES_3PLUS_MONTHS,1534114800000
176021144,★ StatTrak™ Navaja Knife | Scorched (Minimal Wear),★ StatTrak™ Navaja Knife | Scorched (Minimal Wear),#8650AC,https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpovbSsLQJf1OrYYiR95t21n4uFnvHxDKjBqW9Q-NV9j9bN_Iv9nBrs_Eo-MmmnJoTAIFdtMgzSqAC6k-jt1pG5v8jLnSBmsnIq4HqMmES3n1gSObrzV-jH,90.32,67.45,83.85,106.97,83.85,83.066,True,LOW_SALES_3PLUS_MONTHS,1544659200000
176002641,★ StatTrak™ Navaja Knife | Scorched (Well-Worn),★ StatTrak™ Navaja Knife | Scorched (Well-Worn),#8650AC,https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpovbSsLQJf1OrYYiR95t21n4uFnvHxDKjBqW9Q-NV9j9bM8Ij8nVn6qEA9azygIdCXdVdrN1vV81e-x7y-h5C6tM-dySQ2viQrsSuJnRawgAYMMLJzUTIl9Q,92.47,48.68,73.12,92.47,73.12,68.7575,True,LOW_SALES_3PLUS_MONTHS,1534546800000
176010384,★ StatTrak™ Navaja Knife | Slaughter (Factory New),★ StatTrak™ Navaja Knife | Slaughter (Factory New),#8650AC,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpovbSsLQJf1OrYYiR95t21n4uFnvHxDLrcqXFU6tdwteXI8oThxlDk_kFqazqiJoHDJFU_ZFmGqVW_kL_ohZDvvsudwXJq6yMit3uMlhapwUYbwEf1zcM,192.99,106.4,137.72,201.46,137.72,134.606,True,LOW_SALES_3PLUS_MONTHS,1541376000000
176000176,★ StatTrak™ Navaja Knife | Slaughter (Field-Tested),★ StatTrak™ Navaja Knife | Slaughter (Field-Tested),#8650AC,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpovbSsLQJf1OrYYiR95t21n4uFnvHxDLrcqXFU6tdwteTE8YXghRrlrhBqajuhcoadJwU8Zw6B_VW3wrrnhZa7ucnPm3oyuyIhsyyPnUfln1gSOZ2fOn7a,128.22,81.03,107.26,128.22,107.26,103.584,True,LOW_SALES_3PLUS_MONTHS,1540857600000
176001448,★ StatTrak™ Navaja Knife | Slaughter (Minimal Wear),★ StatTrak™ Navaja Knife | Slaughter (Minimal Wear),#8650AC,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpovbSsLQJf1OrYYiR95t21n4uFnvHxDLrcqXFU6tdwteXI8oThxlDk_kFqazqiJoHDJFU_ZFmGqVW_kL_ohZDvvsudwXJq6yMit3uMlhapwUYbwEf1zcM,175.02,1.74,116.39,175.02,116.39,114.4745,True,LOW_SALES_3PLUS_MONTHS,1540944000000
176023311,★ StatTrak™ Navaja Knife | Stained (Battle-Scarred),★ StatTrak™ Navaja Knife | Stained (Battle-Scarred),#8650AC,https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpovbSsLQJf1OrYYiR95t21n4uFnvHxDLrAqW1e-sZ0jtbJ8I3jkRrtqUZrNTz7dtCcIAQ_NVmD-gPswe3mhcO_v8-dziAw7yAg7S3czEC_n1gSOSlVWC8F,121.72,50.32,114.29,946.79,114.29,72.801,True,LOW_SALES_3PLUS_MONTHS,1544918400000
176010207,★ StatTrak™ Navaja Knife | Stained,★ StatTrak™ Navaja Knife | Stained (Factory New),#8650AC,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpovbSsLQJf1OrYYiR95t21n4uFnvHxDLrAqW1e-sZ0jtbN_Iv9nBq1rkQ9ZTr2cIaWIwU6NFqF8wPswOvuhZC-uMmbnXpmuHEkt3zenBOwn1gSOR0c8esL,94.73,94.73,107.13,126.47,107.13,97.461,True,LOW_SALES_3PLUS_MONTHS,1537398000000
