Float,Weapon Name,Skin Name,Single Cost ($),10x Cost ($),Average Profit ($),Net Profit ($),Net Profit After Steam ($),ROI %
0.15,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.15,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.15,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.15,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.15,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.15,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.16,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.16,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.16,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.16,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.16,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.16,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.16,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.16,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.16,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.16,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.17,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.17,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.17,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.17,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.17,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.17,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.17,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.17,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.17,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.17,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.18,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.18,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.18,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.18,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.18,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.18,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
0.18,MAG-7,Heat,0.5,5.0,3.2,-1.8,-1.57,-31.4
