★ Survival Knife
StatTrak™ XM1014
★ StatTrak™ Navaja Knife
Operation Broken Fang Case
UMP-45
Rezan the Redshirt
'Two Times' McCoy
Sir Bloody Silent Darryl
Operation Broken Fang Premium Pass
Cmdr. Mae 'Dead Cold' Jamison
Safecracker Voltzmann
Sir Bloody Loudmouth Darryl
StatTrak™ M249
Number K
Sir Bloody Miami Darryl
Five-SeveN
StatTrak™ Nova
StatTrak™ UMP-45
StatTrak™ USP-S
John 'Van Healen' Kask
Getaway Sally
Street Soldier
'Blueberries' Buckshot
Bio-Haz Specialist
★ Moto Gloves
★ Driver Gloves
★ Specialist Gloves
★ Broken Fang Gloves
StatTrak™ Five-SeveN
★ Hand Wraps
1st Lieutenant Farlow
Sir Bloody Darryl Royale
Little Kev
Sir Bloody Skullhead Darryl
Chem-Haz Specialist
Sergeant Bombson
Dragomir
Souvenir UMP-45
★ StatTrak™ Flip Knife
2020 RMR Legends
2020 RMR Challengers
2020 RMR Contenders
Poorly Drawn Capsule
★ StatTrak™ Bowie Knife
Snakebite Case
StatTrak™ MP9
StatTrak™ Tacticians Music Kit Box
Tacticians Music Kit Box
2021 Community Sticker Capsule
Col. Mangos Dabisi
Lieutenant Rex Krikey
Officer Jacques Beltram
Cmdr. Frank 'Wet Sox' Baroud
Arno The Overgrown
Trapper Aggressor
Mr. Muhlik
StatTrak™ FAMAS
Sous-Lieutenant Medic
Lieutenant 'Tree Hugger' Farlow
Vypa Sista of the Revolution
Elite Trapper Solman
'Medium Rare' Crasswater
Chem-Haz Capitaine
Primeiro Tenente
Chef d'Escadron Rouchard
Crasswater The Forgotten
Bloody Darryl The Strapped
Cmdr. Davida 'Goggles' Fernandez
D Squadron Officer
Trapper
Aspirant
★ Shadow Daggers
★ Bowie Knife
★ Huntsman Knife
★ Falchion Knife
★ Butterfly Knife
★ StatTrak™ Shadow Daggers
★ StatTrak™ Butterfly Knife
Jungle Rebel
Operation Riptide Premium Pass
Operation Riptide Case
Souvenir PP-Bizon
Souvenir R8 Revolver
Souvenir Glock-18
Souvenir G3SG1
Souvenir SSG 08
Souvenir XM1014
Souvenir CZ75-Auto
Souvenir AK-47
Souvenir P250
Souvenir Five-SeveN
Souvenir Dual Berettas
Souvenir Galil AR
Souvenir MP9
Souvenir P90
Souvenir MAG-7
Souvenir MAC-10
Souvenir M249
Souvenir AUG
Souvenir Sawed-Off
Souvenir MP7
Souvenir USP-S
Souvenir P2000
Souvenir FAMAS
Souvenir Negev
Souvenir Nova
Souvenir Desert Eagle
Souvenir Tec-9
Souvenir M4A4
Souvenir MP5-SD
Stockholm 2021 Legends Sticker Capsule
Stockholm 2021 Contenders Sticker Capsule
Stockholm 2021 Challengers Sticker Capsule
Stockholm 2021 Contenders Patch Pack
Stockholm 2021 Challengers Patch Pack
Stockholm 2021 Legends Patch Pack
Stockholm 2021 Viewer Pass
Stockholm 2021 Viewer Pass + 3 Souvenir Tokens
Stockholm 2021 Overpass Souvenir Package
Stockholm 2021 Inferno Souvenir Package
Stockholm 2021 Nuke Souvenir Package
Stockholm 2021 Mirage Souvenir Package
Stockholm 2021 Ancient Souvenir Package
Stockholm 2021 Dust II Souvenir Package
Stockholm 2021 Vertigo Souvenir Package
Souvenir M4A1-S
Stockholm 2021 Champions Autograph Capsule
Stockholm 2021 Finalists Autograph Capsule
Battlefield 2042 Sticker Capsule
Dreams & Nightmares Case
The Boardroom Sticker Capsule
Souvenir AWP
Antwerp 2022 Legends Autograph Capsule
Antwerp 2022 Challengers Autograph Capsule
Antwerp 2022 Contenders Sticker Capsule
Antwerp 2022 Challengers Sticker Capsule
Antwerp 2022 Legends Sticker Capsule
Antwerp 2022 Viewer Pass
Antwerp 2022 Viewer Pass + 3 Souvenir Tokens
Antwerp 2022 Contenders Autograph Capsule
Antwerp 2022 Overpass Souvenir Package
Antwerp 2022 Nuke Souvenir Package
Antwerp 2022 Mirage Souvenir Package
Antwerp 2022 Dust II Souvenir Package
Antwerp 2022 Inferno Souvenir Package
Antwerp 2022 Vertigo Souvenir Package
Antwerp 2022 Ancient Souvenir Package
Antwerp 2022 Champions Autograph Capsule
Recoil Case
10 Year Birthday Sticker Capsule
Initiators Music Kit Box
StatTrak™ Initiators Music Kit Box
Rio 2022 Legends Sticker Capsule
Rio 2022 Contenders Sticker Capsule
Rio 2022 Challengers Sticker Capsule
Rio 2022 Viewer Pass
Rio 2022 Legends Autograph Capsule
Rio 2022 Challengers Autograph Capsule
Rio 2022 Contenders Autograph Capsule
Rio 2022 Viewer Pass + 3 Souvenir Tokens
Rio 2022 Inferno Souvenir Package
Rio 2022 Dust II Souvenir Package
Rio 2022 Mirage Souvenir Package
Rio 2022 Nuke Souvenir Package
Rio 2022 Overpass Souvenir Package
Rio 2022 Vertigo Souvenir Package
Rio 2022 Ancient Souvenir Package
Rio 2022 Champions Autograph Capsule
★ StatTrak™ Talon Knife
Revolution Case
Espionage Sticker Capsule
★ Ursus Knife
Anubis Collection Package
Paris 2023 Viewer Pass + 3 Souvenir Tokens
Paris 2023 Contenders Autograph Capsule
Paris 2023 Challengers Sticker Capsule
Paris 2023 Legends Sticker Capsule
Paris 2023 Contenders Sticker Capsule
Paris 2023 Challengers Autograph Capsule
Paris 2023 Legends Autograph Capsule
Paris 2023 Viewer Pass
CS:GO Graffiti Box
Operation Wildfire Case Key
CS:GO Weapon Case 2
Huntsman Weapon Case
Operation Wildfire Case
Operation Breakout Weapon Case
Shadow Case
Operation Phoenix Weapon Case
Sticker Capsule
CS:GO Weapon Case 3
Operation Phoenix Case Key
Revolver Case
Winter Offensive Weapon Case
Pinups Capsule
Falchion Case
Tactics Pin
Militia Pin
Inferno Pin
Autograph Capsule
Operation Vanguard Weapon Case
eSports 2013 Winter Case
Community Sticker Capsule 1
eSports 2014 Summer Case
Souvenir SCAR-20
Bestiary Capsule
Cologne 2016 Legends (Holo/Foil)
Dust II Pin
★ Bayonet
★ Flip Knife
★ Karambit
★ M9 Bayonet
★ Gut Knife
Sugarface Capsule
StatTrak™ Radicals Box
Bloodhound Pin
Bravo Pin
Collectible Pins Capsule Series 2
★ Bloodhound Gloves
Operation Bloodhound Access Pass
CS:GO Capsule Key
Cologne 2016 Cache Souvenir Package
Cologne 2016 Train Souvenir Package
ESL One Cologne 2014 Legends
StatTrak™ Swap Tool
Italy Pin
Operation Vanguard Case Key
★ StatTrak™ M9 Bayonet
Glove Case
Glove Case Key
Operation Bravo Case
Gamma 2 Case Key
Gamma 2 Case
Gamma Case Key
Chroma 2 Case Key
Sticker Capsule 2
eSports 2013 Case
Name Tag
Chroma 2 Case
CS:GO Weapon Case
Falchion Case Key
Gamma Case
Chroma Case
Chroma 3 Case Key
Chroma 3 Case
Shadow Case Key
Chroma Case Key
Winter Offensive Case Key
eSports Key
Victory Pin
Mirage Pin
Guardian Elite Pin
Train Pin
Cache Pin
Baggage Pin
ESL One Katowice 2015 Challengers (Holo/Foil)
Operation Payback Pass
EMS Katowice 2014 Challengers
Cologne 2016 Cobblestone Souvenir Package
Community Graffiti Box 1
Operation Breakout All Access Pass
Guardian Pin
Nuke Pin
DreamHack 2014 Legends (Holo/Foil)
ESL One Cologne 2015 Cobblestone Souvenir Package
ESL One Cologne 2015 Challengers (Foil)
★ StatTrak™ Karambit
Operation Phoenix Pass
Operation Wildfire Access Pass
DreamHack Cluj-Napoca 2015 Challengers (Foil)
Team Roles Capsule
Operation Breakout Case Key
DreamHack Cluj-Napoca 2015 Legends (Foil)
Enfu Sticker Capsule
Revolver Case Key
MLG Columbus 2016 Overpass Souvenir Package
MLG Columbus 2016 Challengers (Holo/Foil)
Cologne 2016 Mirage Souvenir Package
Huntsman Case Key
Community Sticker Capsule 1 Key
DreamHack Cluj-Napoca 2015 Cobblestone Souvenir Package
MLG Columbus 2016 Cache Souvenir Package
ESL One Katowice 2015 Dust II Souvenir Package
Phoenix Pin
MLG Columbus 2016 Mirage Souvenir Package
Operation Bravo Pass
CS:GO Case Key
DreamHack Cluj-Napoca 2015 Inferno Souvenir Package
ESL One Katowice 2015 Cache Souvenir Package
Slid3 Capsule
ESL One Cologne 2015 Train Souvenir Package
DreamHack Cluj-Napoca 2015 Cache Souvenir Package
Cologne 2016 Challengers (Holo/Foil)
ESL One Cologne 2015 Legends (Foil)
Gift Package
ESL One Cologne 2015 Mirage Souvenir Package
ESL One Cologne 2015 Cache Souvenir Package
Cologne 2016 Dust II Souvenir Package
MLG Columbus 2016 Legends (Holo/Foil)
Audience Participation Parcel
ESL One Cologne 2015 Inferno Souvenir Package
MLG Columbus 2016 Nuke Souvenir Package
DreamHack Cluj-Napoca 2015 Dust II Souvenir Package
ESL One Katowice 2015 Legends (Holo/Foil)
ESL One Katowice 2015 Inferno Souvenir Package
Collectible Pins Capsule Series 1
DreamHack 2013 Souvenir Package
ESL One Katowice 2015 Mirage Souvenir Package
DreamHack Cluj-Napoca 2015 Mirage Souvenir Package
ESL One Katowice 2015 Overpass Souvenir Package
ESL One Cologne 2015 Overpass Souvenir Package
DreamHack Cluj-Napoca 2015 Train Souvenir Package
ESL One Katowice 2015 Cobblestone Souvenir Package
ESL One Cologne 2015 Dust II Souvenir Package
MLG Columbus 2016 Cobblestone Souvenir Package
ESL One Cologne 2014 Challengers
MLG Columbus 2016 Dust II Souvenir Package
Cologne 2016 Overpass Souvenir Package
MLG Columbus 2016 Train Souvenir Package
DreamHack Cluj-Napoca 2015 Overpass Souvenir Package
Cologne 2016 Nuke Souvenir Package
ESL One Cologne 2014 Inferno Souvenir Package
Pallet of Presents
ESL One Katowice 2015 Nuke Souvenir Package
DreamHack 2014 Overpass Souvenir Package
DreamHack 2014 Inferno Souvenir Package
Operation Vanguard Access Pass
DreamHack 2014 Mirage Souvenir Package
DreamHack 2014 Dust II Souvenir Package
ESL One Cologne 2014 Cobblestone Souvenir Package
Guardian 2 Pin
ESL One Cologne 2014 Cache Souvenir Package
EMS One 2014 Souvenir Package
Overpass Pin
DreamHack 2014 Cache Souvenir Package
Cobblestone Pin
Office Pin
Valeria Phoenix Pin
Chroma Pin
ESL One Cologne 2014 Dust II Souvenir Package
ESL One Cologne 2014 Mirage Souvenir Package
DreamHack 2014 Nuke Souvenir Package
EMS Katowice 2014 Legends
Atlanta 2017 Challengers (Holo/Foil)
Atlanta 2017 Legends (Holo/Foil)
MLG Columbus 2016 Inferno Souvenir Package
ESL One Cologne 2014 Overpass Souvenir Package
Atlanta 2017 Cobblestone Souvenir Package
Atlanta 2017 Overpass Souvenir Package
Atlanta 2017 Cache Souvenir Package
Atlanta 2017 Dust II Souvenir Package
Atlanta 2017 Mirage Souvenir Package
Atlanta 2017 Nuke Souvenir Package
Atlanta 2017 Train Souvenir Package
ESL One Cologne 2014 Nuke Souvenir Package
Spectrum Case
Spectrum Case Key
DreamHack 2014 Cobblestone Souvenir Package
Operation Hydra Case
Operation Hydra Access Pass
Operation Hydra Case Key
Krakow 2017 Legends (Holo/Foil)
Krakow 2017 Legends Autograph Capsule
Krakow 2017 Challengers Autograph Capsule
Krakow 2017 Challengers (Holo/Foil)
Krakow 2017 Overpass Souvenir Package
Krakow 2017 Cobblestone Souvenir Package
Krakow 2017 Mirage Souvenir Package
Krakow 2017 Cache Souvenir Package
Krakow 2017 Train Souvenir Package
Krakow 2017 Inferno Souvenir Package
Krakow 2017 Nuke Souvenir Package
Spectrum 2 Case
Spectrum 2 Case Key
Perfect World Sticker Capsule 1
Perfect World Sticker Capsule 2
Perfect World Graffiti Box
Boston 2018 Legends (Holo/Foil)
Boston 2018 Returning Challengers Autograph Capsule
Boston 2018 Minor Challengers Autograph Capsule
Boston 2018 Legends Autograph Capsule
Boston 2018 Returning Challengers (Holo/Foil)
Boston 2018 Minor Challengers (Holo/Foil)
Boston 2018 Minor Challengers with Flash Gaming (Holo/Foil)
Boston 2018 Minor Challengers with Flash Gaming Autograph Capsule
Boston 2018 Mirage Souvenir Package
Boston 2018 Overpass Souvenir Package
Boston 2018 Cobblestone Souvenir Package
Boston 2018 Inferno Souvenir Package
Boston 2018 Attending Legends (Holo/Foil)
Boston 2018 Attending Legends Autograph Capsule
Boston 2018 Cache Souvenir Package
Boston 2018 Train Souvenir Package
Boston 2018 Nuke Souvenir Package
Clutch Case
Clutch Case Key
Community Capsule 2018
★ Hydra Gloves
Guardian 3 Pin
Canals Pin
Aces High Pin
Wildfire Pin
Inferno 2 Pin
Easy Peasy Pin
Hydra Pin
Collectible Pins Capsule Series 3
Howl Pin
Death Sentence Pin
Welcome to the Clutch Pin
Brigadier General Pin
Horizon Case
Horizon Case Key
★ Stiletto Knife
★ Navaja Knife
★ Talon Knife
★ StatTrak™ Ursus Knife
London 2018 Minor Challengers Autograph Capsule
London 2018 Legends Autograph Capsule
London 2018 Returning Challengers Autograph Capsule
London 2018 Legends (Holo/Foil)
London 2018 Returning Challengers (Holo/Foil)
London 2018 Minor Challengers (Holo/Foil)
London 2018 Inferno Souvenir Package
London 2018 Train Souvenir Package
London 2018 Overpass Souvenir Package
London 2018 Mirage Souvenir Package
London 2018 Nuke Souvenir Package
London 2018 Dust II Souvenir Package
London 2018 Cache Souvenir Package
Skill Groups Capsule
Danger Zone Case
Danger Zone Case Key
Katowice 2019 Viewer Pass
Katowice 2019 Legends Autograph Capsule
Katowice 2019 Minor Challengers Autograph Capsule
Katowice 2019 Returning Challengers Autograph Capsule
Katowice 2019 Legends (Holo/Foil)
Katowice 2019 Minor Challengers (Holo/Foil)
Katowice 2019 Returning Challengers (Holo/Foil)
Katowice 2019 Inferno Souvenir Package
Katowice 2019 Cache Souvenir Package
Katowice 2019 Overpass Souvenir Package
Katowice 2019 Nuke Souvenir Package
Katowice 2019 Dust II Souvenir Package
Katowice 2019 Mirage Souvenir Package
Katowice 2019 Train Souvenir Package
Prisma Case
Prisma Case Key
Feral Predators Capsule
Chicken Capsule
Berlin 2019 Minor Challengers (Holo/Foil)
Berlin 2019 Viewer Pass + 3 Souvenir Tokens
Berlin 2019 Legends Autograph Capsule
Berlin 2019 Legends (Holo/Foil)
Berlin 2019 Viewer Pass
Berlin 2019 Minor Challengers Autograph Capsule
Berlin 2019 Returning Challengers (Holo/Foil)
Berlin 2019 Returning Challengers Autograph Capsule
Berlin 2019 Dust II Souvenir Package
Berlin 2019 Overpass Souvenir Package
Berlin 2019 Inferno Souvenir Package
Berlin 2019 Nuke Souvenir Package
Berlin 2019 Mirage Souvenir Package
Berlin 2019 Train Souvenir Package
Berlin 2019 Vertigo Souvenir Package
X-Ray P250 Package
CS20 Case
CS20 Sticker Capsule
CS20 Case Key
Shattered Web Case
Operation Shattered Web Premium Pass
Special Agent Ava
'The Doctor' Romanov
3rd Commando Company
Lt. Commander Ricksaw
The Elite Mr. Muhlik
Seal Team 6 Soldier
Blackwolf
Rezan The Ready
Slingshot
Buckshot
Maximus
B Squadron Officer
Osiris
Prof. Shahmat
Operator
Soldier
Enforcer
Michael Syfers 
Markus Delrow
Ground Rebel 
