itemID,itemType,itemMarketName,medianPrice
176097816,Agent,Glock-18 | Synth Leaf (Well-Worn),21.24
176097837,Agent,★ Survival Knife | Safari Mesh (Well-Worn),120.2
176098163,Agent,★ StatTrak™ Nomad Knife | Crimson Web (Field-Tested),456.06
176097829,Agent,★ StatTrak™ Nomad Knife | Scorched (Minimal Wear),185.13
176097850,Agent,★ StatTrak™ Skeleton Knife | Forest DDPAT (Field-Tested),337.52
176098324,Agent,★ Paracord Knife | Boreal Forest (Well-Worn),113.51
176098120,Agent,★ Nomad Knife | Crimson Web (Battle-Scarred),314.1
176097195,Agent,SSG 08 | Sea Calico (Well-Worn),
176097920,Agent,★ StatTrak™ Survival Knife | Crimson Web (Field-Tested),288.0
176098450,Agent,★ StatTrak™ Paracord Knife | Case Hardened (Battle-Scarred),248.77
176098083,Agent,★ StatTrak™ Paracord Knife | Case Hardened (Factory New),566.32
176098325,Agent,★ StatTrak™ Nomad Knife | Safari Mesh (Field-Tested),163.32
176097747,Agent,★ Survival Knife | Night Stripe (Well-Worn),136.94
176098097,Agent,★ Nomad Knife | Boreal Forest (Well-Worn),168.47
176097678,Agent,★ Paracord Knife | Boreal Forest (Minimal Wear),148.96
176097597,Agent,★ StatTrak™ Skeleton Knife | Stained (Field-Tested),461.05
176097612,Agent,★ Skeleton Knife | Safari Mesh (Well-Worn),304.81
176097839,Agent,Nova | Baroque Orange (Well-Worn),54.97
176098147,Agent,MAC-10 | Red Filigree (Battle-Scarred),456.24
176097555,Agent,★ Survival Knife | Case Hardened (Well-Worn),226.94
176097660,Agent,★ Survival Knife | Boreal Forest (Battle-Scarred),103.79
176098558,Agent,★ StatTrak™ Paracord Knife | Boreal Forest (Minimal Wear),158.7
176097656,Agent,★ Nomad Knife | Urban Masked (Well-Worn),174.86
176097163,Agent,★ Paracord Knife | Scorched (Battle-Scarred),106.1
176099421,Agent,★ StatTrak™ Nomad Knife | Night Stripe (Well-Worn),151.12
176097078,Agent,★ Paracord Knife | Blue Steel (Field-Tested),203.98
176098482,Agent,★ StatTrak™ Paracord Knife | Safari Mesh (Battle-Scarred),101.46
176098037,Agent,★ StatTrak™ Survival Knife | Forest DDPAT (Minimal Wear),114.58
176097567,Agent,★ StatTrak™ Paracord Knife | Blue Steel (Field-Tested),197.06
176099252,Agent,★ Nomad Knife | Night Stripe (Well-Worn),187.63
176097713,Agent,★ Skeleton Knife | Boreal Forest (Well-Worn),301.96
176099479,Agent,★ StatTrak™ Paracord Knife | Night Stripe (Field-Tested),150.2
176097718,Agent,★ Nomad Knife | Slaughter (Field-Tested),515.37
176097628,Agent,★ Paracord Knife | Safari Mesh (Battle-Scarred),119.94
176098888,Agent,★ StatTrak™ Paracord Knife | Crimson Web (Field-Tested),302.29
176098651,Agent,★ StatTrak™ Skeleton Knife | Blue Steel (Minimal Wear),583.14
176098353,Agent,★ StatTrak™ Survival Knife | Case Hardened (Well-Worn),203.65
176097900,Agent,★ StatTrak™ Paracord Knife | Slaughter (Factory New),466.64
176097794,Agent,★ Nomad Knife | Forest DDPAT (Battle-Scarred),147.57
176098617,Agent,★ StatTrak™ Classic Knife | Case Hardened (Factory New),
176097689,Agent,★ StatTrak™ Paracord Knife | Blue Steel (Minimal Wear),221.28
176099666,Agent,★ StatTrak™ Skeleton Knife | Night Stripe (Well-Worn),353.48
176097632,Agent,★ StatTrak™ Paracord Knife | Scorched (Battle-Scarred),111.64
176097589,Agent,★ Paracord Knife | Safari Mesh (Well-Worn),108.21
176099489,Agent,★ StatTrak™ Nomad Knife | Forest DDPAT (Battle-Scarred),150.15
176097935,Agent,★ StatTrak™ Paracord Knife | Blue Steel (Well-Worn),164.14
176100759,Agent,★ Skeleton Knife | Boreal Forest (Factory New),398.22
176098522,Agent,★ StatTrak™ Survival Knife | Slaughter (Minimal Wear),329.98
176100379,Agent,★ Paracord Knife | Stained (Factory New),209.22
176097455,Agent,★ Paracord Knife | Night Stripe (Well-Worn),149.0
176100720,Agent,★ Classic Knife | Forest DDPAT (Factory New),306.33
176097937,Agent,★ Skeleton Knife | Forest DDPAT (Battle-Scarred),286.98
176097787,Agent,★ Skeleton Knife | Case Hardened (Factory New),1511.0
176103267,Agent,★ StatTrak™ Nomad Knife | Safari Mesh (Minimal Wear),161.57
176105360,Agent,★ StatTrak™ Nomad Knife | Stained (Factory New),811.41
176099409,Agent,★ StatTrak™ Paracord Knife | Stained (Well-Worn),161.94
176103240,Agent,★ Nomad Knife | Scorched (Factory New),199.9
176098335,Agent,★ StatTrak™ Paracord Knife | Case Hardened (Minimal Wear),349.0
176104367,Agent,★ StatTrak™ Survival Knife | Slaughter (Field-Tested),282.34
176101316,Agent,★ StatTrak™ Nomad Knife | Blue Steel (Well-Worn),295.91
176101445,Agent,★ StatTrak™ Paracord Knife | Safari Mesh (Minimal Wear),132.08
176107988,Agent,★ StatTrak™ Nomad Knife | Night Stripe (Minimal Wear),230.0
176098060,Agent,★ StatTrak™ Skeleton Knife | Stained (Well-Worn),457.93
176100727,Agent,★ Nomad Knife | Stained (Factory New),377.95
176097818,Agent,★ StatTrak™ Paracord Knife | Stained (Battle-Scarred),136.12
176108870,Agent,★ StatTrak™ Survival Knife | Blue Steel (Battle-Scarred),158.84
176109884,Agent,★ StatTrak™ Paracord Knife | Urban Masked (Battle-Scarred),109.97
