StatTrak,Weapon,Skin,Wear,Rarity,Case,Individual Cost,Trade Up Cost,Profit,Net Profit,Net Profit After Steam Cut,ROI %
1,UMP-45,Roadblock,Minimal Wear,Mil_Spec Grade,Recoil Case,0.42,4.2,3.67,-0.53,-0.46,-10.95
1,Negev,Drop Me,Minimal Wear,Mil_Spec Grade,Recoil Case,0.42,4.2,3.67,-0.53,-0.46,-10.95
1,MAC-10,Monkeyflage,Field-Tested,Mil_Spec Grade,Recoil Case,0.22,2.2,1.74,-0.46,-0.4,-18.18
1,UMP-45,Roadblock,Field-Tested,Mil_Spec Grade,Recoil Case,0.22,2.2,1.74,-0.46,-0.4,-18.18
1,Negev,Drop Me,Field-Tested,Mil_Spec Grade,Recoil Case,0.21,2.1,1.74,-0.36,-0.32,-15.24
0,M4A4,Poly Mag,Minimal Wear,Mil_Spec Grade,Recoil Case,0.22,2.2,1.86,-0.34,-0.3,-13.64
1,MAC-10,Monkeyflage,Battle-Scarred,Mil_Spec Grade,Recoil Case,0.16,1.6,1.28,-0.32,-0.28,-17.5
0,Galil AR,Destroyer,Minimal Wear,Mil_Spec Grade,Recoil Case,0.21,2.1,1.86,-0.24,-0.21,-10.0
0,Glock-18,Winterized,Minimal Wear,Mil_Spec Grade,Recoil Case,0.21,2.1,1.86,-0.24,-0.21,-10.0
1,MAC-10,Monkeyflage,Well-Worn,Mil_Spec Grade,Recoil Case,0.17,1.7000000000000002,1.51,-0.19,-0.17,-10.0
0,Glock-18,Winterized,Battle-Scarred,Mil_Spec Grade,Recoil Case,0.09,0.8999999999999999,0.74,-0.16,-0.14,-15.56
0,Glock-18,Winterized,Field-Tested,Mil_Spec Grade,Recoil Case,0.12,1.2,1.04,-0.16,-0.14,-11.67
0,M4A4,Poly Mag,Battle-Scarred,Mil_Spec Grade,Recoil Case,0.09,0.8999999999999999,0.74,-0.16,-0.14,-15.56
0,M4A4,Poly Mag,Field-Tested,Mil_Spec Grade,Recoil Case,0.12,1.2,1.04,-0.16,-0.14,-11.67
0,Negev,Drop Me,Field-Tested,Mil_Spec Grade,Recoil Case,0.12,1.2,1.04,-0.16,-0.14,-11.67
