StatTrak,Weapon,Skin,Wear,Rarity,Case,Individual Cost,Trade Up Cost,Profit,Net Profit,Net Profit After Steam Cut,ROI %
0,USP-S,Flashback,Field-Tested,Restricted,Danger Zone Case,0.65,6.5,4.18,-2.32,-2.03,-31.23
0,Glock-18,Oxide Blaze,Factory New,Mil_Spec Grade,Danger Zone Case,0.36,3.5999999999999996,1.3,-2.3,-2.01,-55.83
0,Desert Eagle,Mecha Industries,Well-Worn,Classified,Danger Zone Case,5.29,52.9,31.3,-21.6,-18.9,-35.73
1,USP-S,Flashback,Battle-Scarred,Restricted,Danger Zone Case,2.64,26.400000000000002,6.7,-19.7,-17.24,-65.3
1,MAC-10,Pipe Down,Factory New,Restricted,Danger Zone Case,3.97,39.7,20.48,-19.22,-16.82,-42.37
0,Desert Eagle,Mecha Industries,Minimal Wear,Classified,Danger Zone Case,6.48,64.80000000000001,45.64,-19.16,-16.77,-25.88
0,Desert Eagle,Mecha Industries,Battle-Scarred,Classified,Danger Zone Case,4.43,44.3,25.16,-19.14,-16.75,-37.81
1,MP5-SD,Phosphor,Minimal Wear,Classified,Danger Zone Case,10.97,109.7,91.67,-18.03,-15.78,-14.38
1,USP-S,Flashback,Well-Worn,Restricted,Danger Zone Case,2.47,24.700000000000003,7.44,-17.26,-15.1,-61.13
0,Desert Eagle,Mecha Industries,Field-Tested,Classified,Danger Zone Case,4.96,49.6,32.43,-17.17,-15.02,-30.28
1,UMP-45,Momentum,Minimal Wear,Classified,Danger Zone Case,10.76,107.6,91.67,-15.93,-13.94,-12.96
1,M4A4,Magnesium,Minimal Wear,Mil_Spec Grade,Danger Zone Case,1.75,17.5,1.8,-15.7,-13.74,-78.51
1,USP-S,Flashback,Factory New,Restricted,Danger Zone Case,3.6,36.0,20.48,-15.52,-13.58,-37.72
1,Glock-18,Oxide Blaze,Factory New,Mil_Spec Grade,Danger Zone Case,1.81,18.1,3.41,-14.69,-12.85,-70.99
1,P250,Nevermore,Well-Worn,Restricted,Danger Zone Case,2.06,20.6,7.44,-13.16,-11.52,-55.92
0,M4A4,Magnesium,Factory New,Mil_Spec Grade,Danger Zone Case,1.43,14.299999999999999,1.3,-13.0,-11.38,-79.58
1,P250,Nevermore,Factory New,Restricted,Danger Zone Case,3.32,33.199999999999996,20.48,-12.72,-11.13,-33.52
0,MP5-SD,Phosphor,Minimal Wear,Classified,Danger Zone Case,5.79,57.9,45.64,-12.26,-10.73,-18.53
1,USP-S,Flashback,Field-Tested,Restricted,Danger Zone Case,1.95,19.5,7.83,-11.67,-10.21,-52.36
1,USP-S,Flashback,Minimal Wear,Restricted,Danger Zone Case,2.37,23.700000000000003,12.14,-11.56,-10.12,-42.7
0,P250,Nevermore,Field-Tested,Restricted,Danger Zone Case,0.63,6.3,4.18,-2.12,-1.85,-29.37
0,P250,Nevermore,Minimal Wear,Restricted,Danger Zone Case,0.8,8.0,5.99,-2.01,-1.76,-22.0
0,Galil AR,Signal,Minimal Wear,Restricted,Danger Zone Case,0.79,7.9,5.99,-1.91,-1.67,-21.14
1,SG 553,Danger Close,Minimal Wear,Mil_Spec Grade,Danger Zone Case,0.37,3.7,1.8,-1.9,-1.66,-44.86
0,M4A4,Magnesium,Minimal Wear,Mil_Spec Grade,Danger Zone Case,0.27,2.7,0.8,-1.9,-1.66,-61.48
0,G3SG1,Scavenger,Minimal Wear,Restricted,Danger Zone Case,0.78,7.800000000000001,5.99,-1.81,-1.58,-20.26
0,MAC-10,Pipe Down,Minimal Wear,Restricted,Danger Zone Case,0.78,7.800000000000001,5.99,-1.81,-1.58,-20.26
0,MP9,Modest Threat,Factory New,Mil_Spec Grade,Danger Zone Case,0.29,2.9,1.3,-1.6,-1.4,-48.28
0,Galil AR,Signal,Field-Tested,Restricted,Danger Zone Case,0.57,5.699999999999999,4.18,-1.52,-1.33,-23.33
0,Galil AR,Signal,Battle-Scarred,Restricted,Danger Zone Case,0.52,5.2,3.72,-1.48,-1.29,-24.81
0,SG 553,Danger Close,Factory New,Mil_Spec Grade,Danger Zone Case,0.27,2.7,1.3,-1.4,-1.22,-45.19
1,Nova,Wood Fired,Minimal Wear,Mil_Spec Grade,Danger Zone Case,0.31,3.1,1.8,-1.3,-1.14,-36.77
0,Sawed-Off,Black Sand,Factory New,Mil_Spec Grade,Danger Zone Case,0.26,2.6,1.3,-1.3,-1.14,-43.85
1,Sawed-Off,Black Sand,Minimal Wear,Mil_Spec Grade,Danger Zone Case,0.31,3.1,1.8,-1.3,-1.14,-36.77
1,MAC-10,Pipe Down,Field-Tested,Restricted,Danger Zone Case,0.91,9.1,7.83,-1.27,-1.11,-12.2
0,Galil AR,Signal,Well-Worn,Restricted,Danger Zone Case,0.56,5.6000000000000005,4.34,-1.26,-1.1,-19.64
0,G3SG1,Scavenger,Field-Tested,Restricted,Danger Zone Case,0.54,5.4,4.18,-1.22,-1.07,-19.81
1,Glock-18,Oxide Blaze,Field-Tested,Mil_Spec Grade,Danger Zone Case,0.24,2.4,1.2,-1.2,-1.05,-43.75
0,Nova,Wood Fired,Factory New,Mil_Spec Grade,Danger Zone Case,0.25,2.5,1.3,-1.2,-1.05,-42.0
1,G3SG1,Scavenger,Field-Tested,Restricted,Danger Zone Case,0.9,9.0,7.83,-1.17,-1.02,-11.33
1,Glock-18,Oxide Blaze,Battle-Scarred,Mil_Spec Grade,Danger Zone Case,0.24,2.4,1.29,-1.11,-0.97,-40.42
0,MAC-10,Pipe Down,Field-Tested,Restricted,Danger Zone Case,0.52,5.2,4.18,-1.02,-0.89,-17.12
1,Nova,Wood Fired,Well-Worn,Mil_Spec Grade,Danger Zone Case,0.23,2.3000000000000003,1.53,-0.77,-0.67,-29.13
